url,daywithdata
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161130,11/30/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161201,12/1/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161202,12/2/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161203,12/3/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161204,12/4/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161205,12/5/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161206,12/6/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161207,12/7/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161208,12/8/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161209,12/9/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161210,12/10/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161211,12/11/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161212,12/12/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161213,12/13/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161214,12/14/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161215,12/15/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161216,12/16/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161217,12/17/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161218,12/18/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161219,12/19/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161220,12/20/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161221,12/21/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161222,12/22/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161223,12/23/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161224,12/24/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161225,12/25/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161226,12/26/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161227,12/27/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161228,12/28/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161229,12/29/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161230,12/30/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20161231,12/31/2016
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170101,1/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170102,1/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170103,1/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170104,1/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170105,1/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170106,1/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170107,1/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170108,1/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170109,1/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170110,1/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170111,1/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170112,1/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170113,1/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170114,1/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170115,1/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170116,1/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170117,1/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170118,1/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170119,1/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170120,1/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170121,1/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170122,1/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170123,1/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170124,1/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170125,1/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170126,1/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170127,1/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170128,1/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170129,1/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170130,1/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170131,1/31/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170201,2/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170202,2/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170203,2/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170204,2/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170205,2/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170206,2/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170207,2/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170208,2/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170209,2/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170210,2/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170211,2/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170212,2/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170213,2/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170214,2/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170215,2/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170216,2/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170217,2/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170218,2/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170219,2/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170220,2/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170221,2/21/2017
